date,day,time
1/2/2019,1,2.94
1/3/2019,2,1.53
1/4/2019,3,0.58
1/5/2019,4,1.02
1/6/2019,5,1.32
1/7/2019,6,0.89
1/8/2019,7,1.37
1/9/2019,8,0.72
1/10/2019,9,1.26
1/12/2019,10,1.47
1/13/2019,11,1.25
1/14/2019,12,1.19
1/15/2019,13,1.12
1/16/2019,14,0.94
1/17/2019,15,1.05
1/19/2019,16,0.93
1/20/2019,17,1.63
1/21/2019,18,1.66
1/22/2019,19,1.37
1/23/2019,20,0.92
1/24/2019,21,1.45
1/26/2019,22,1.12
1/27/2019,23,1.77
1/28/2019,24,1.26
1/29/2019,25,1.74
1/30/2019,26,1.13
1/31/2019,27,1.38
2/2/2019,28,1.18
2/3/2019,29,1.67
2/4/2019,30,1.78
2/5/2019,31,1.68
2/6/2019,32,1.39
2/7/2019,33,1.75
2/9/2019,34,1.26
2/10/2019,35,1.65
2/11/2019,36,1.09
2/12/2019,37,1.43
2/13/2019,38,1.07
2/14/2019,39,1.47
2/16/2019,40,1
2/17/2019,41,1.74
2/18/2019,42,1.25
2/19/2019,43,1.47
2/20/2019,44,1.35
2/21/2019,45,1.21
2/23/2019,46,0.98
2/24/2019,47,1.89
2/25/2019,48,1.17
2/26/2019,49,1.69
2/27/2019,50,1.19
2/28/2019,51,0.84
3/2/2019,52,1.1
3/3/2019,53,1.43
3/4/2019,54,1.27
3/5/2019,55,1.56
3/6/2019,56,1.1
3/7/2019,57,1.35
3/9/2019,58,1.05
3/10/2019,59,1.52
3/11/2019,60,1.39
3/12/2019,61,1.42
3/13/2019,62,1.38
3/14/2019,63,1.4
3/16/2019,64,1.06
3/17/2019,65,1.59
3/18/2019,66,1.07
3/19/2019,67,1.46
3/20/2019,68,0.98
3/21/2019,69,1.48
3/23/2019,70,1.13
3/24/2019,71,1.66
3/25/2019,72,1.39
3/26/2019,73,1.44
3/27/2019,74,0.92
3/28/2019,75,1.37
3/30/2019,76,1.02
3/31/2019,77,1.28
4/1/2019,78,1.19
4/2/2019,79,1.36
4/3/2019,80,1.19
4/4/2019,81,1.2
4/6/2019,82,1.14
4/7/2019,83,1.8
4/8/2019,84,1.35
4/9/2019,85,1.29
4/10/2019,86,1.16
4/11/2019,87,1.23
4/13/2019,88,0.83
4/14/2019,89,1.5
4/15/2019,90,1.35
4/16/2019,91,1.52
4/17/2019,92,1.55
4/18/2019,93,1.31
4/20/2019,94,0.81
4/21/2019,95,1.86
4/22/2019,96,1.07
4/23/2019,97,1.44
4/24/2019,98,1.06
4/25/2019,99,1.43
4/27/2019,100,0.96
4/28/2019,101,1.48
4/29/2019,102,1.32
4/30/2019,103,1.64
5/1/2019,104,1.21
5/2/2019,105,1.61
5/3/2019,106,0.35
5/4/2019,107,1.19
5/5/2019,108,1.94
5/6/2019,109,1.07
5/7/2019,110,0.95
5/8/2019,111,1.08
5/9/2019,112,1.17
5/11/2019,113,0.84
5/12/2019,114,1.16
5/13/2019,115,1.08
5/14/2019,116,1.78
5/15/2019,117,1.01
5/16/2019,118,1.08
5/17/2019,119,0.77
5/18/2019,120,0.97
5/19/2019,121,1.18
5/20/2019,122,1.17
5/21/2019,123,0.94
5/22/2019,124,0.87
5/23/2019,125,0.92
5/25/2019,126,0.89
5/26/2019,127,1.2
5/27/2019,128,0.98
5/28/2019,129,1.11
5/29/2019,130,0.87
5/30/2019,131,1.03
5/31/2019,132,0.5
6/1/2019,133,0.86
6/2/2019,134,1.36
6/3/2019,135,0.87
6/8/2019,136,1.06
6/9/2019,137,1.85
6/10/2019,138,1.5
6/11/2019,139,1.23
6/12/2019,140,0.87
6/13/2019,141,1.44
6/15/2019,142,1.07
6/16/2019,143,1.86
6/17/2019,144,1.41
6/18/2019,145,1.51
6/19/2019,146,0.91
6/20/2019,147,1.5
6/21/2019,148,0.96
6/22/2019,149,0.97
6/23/2019,150,1.49
6/24/2019,151,1.5
6/25/2019,152,1.71
6/26/2019,153,0.87
6/27/2019,154,1.44
6/28/2019,155,0.27
6/29/2019,156,1.03
6/30/2019,157,1.83
7/1/2019,158,1.3
7/2/2019,159,1.52
7/3/2019,160,1.13
7/4/2019,161,1.28
7/5/2019,162,0.36
7/6/2019,163,1.25
7/7/2019,164,1.6
7/8/2019,165,1.33
7/9/2019,166,1.72
7/10/2019,167,1.25
7/11/2019,168,1.63
7/12/2019,169,0.84
7/13/2019,170,1.04
7/14/2019,171,1.57
7/15/2019,172,1.41
7/16/2019,173,1.67
7/17/2019,174,1.15
7/18/2019,175,1.21
7/19/2019,176,0.88
7/20/2019,177,1.02
7/21/2019,178,1.55
7/22/2019,179,1.03
7/23/2019,180,1.49
7/24/2019,181,1.11
7/25/2019,182,1.41
7/26/2019,183,0.58
7/27/2019,184,0.96
7/28/2019,185,1.46
7/29/2019,186,1.33
7/30/2019,187,1.25
7/31/2019,188,1.02
8/1/2019,189,1.18
8/2/2019,190,0.91
8/3/2019,191,1.06
8/4/2019,192,1.48
8/5/2019,193,1.44
8/6/2019,194,1.75
8/7/2019,195,1.16
8/8/2019,196,1.01
8/9/2019,197,0.44
8/10/2019,198,0.7
8/15/2019,199,1.55
8/16/2019,200,0.7
8/17/2019,201,1.12
8/18/2019,202,1.57
8/19/2019,203,1.13
8/20/2019,204,1.56
8/21/2019,205,1.16
8/22/2019,206,1.18
8/23/2019,207,0.98
8/24/2019,208,0.93
8/25/2019,209,1.84
8/26/2019,210,1.26
8/27/2019,211,1.35
8/28/2019,212,1.08
8/29/2019,213,1.36
8/30/2019,214,0.61
8/31/2019,215,1.13
9/1/2019,216,1.57
9/2/2019,217,1.22
9/3/2019,218,1.39
9/4/2019,219,1.02
9/5/2019,220,1.03
9/6/2019,221,0.9
9/7/2019,222,0.97
9/8/2019,223,1.32
9/9/2019,224,0.98
9/10/2019,225,0.77
9/11/2019,226,0.94
9/12/2019,227,1.12
9/13/2019,228,0.53
9/14/2019,229,0.94
9/15/2019,230,1.53
9/16/2019,231,1.26
9/17/2019,232,1.13
9/18/2019,233,1
9/19/2019,234,1.02
9/20/2019,235,0.76
9/21/2019,236,0.99
9/22/2019,237,1.37
9/23/2019,238,1.06
9/24/2019,239,1.29
9/25/2019,240,1.23
9/26/2019,241,1.02
9/28/2019,242,1.09
9/29/2019,243,1.57
9/30/2019,244,1.08
10/1/2019,245,1.52
10/2/2019,246,1.01
10/3/2019,247,1.33
10/4/2019,248,0.6
10/5/2019,249,1.06
10/6/2019,250,1.58
10/7/2019,251,1.29
10/8/2019,252,1.26
10/9/2019,253,0.99
10/10/2019,254,1.01
10/11/2019,255,0.84
10/12/2019,256,1.08
10/13/2019,257,1.52
10/14/2019,258,1.2
10/15/2019,259,1.44
10/16/2019,260,1.1
10/17/2019,261,1.12
